Name,UnitPrice,nb_ventes
Nossa Gente (Avisa Là),0.99,2
Not The Doctor,0.99,2
Nothing Else Matters,0.99,2
Não Quero Dinheiro,0.99,2
O Pulso,0.99,2
Onde Anda Você,0.99,2
Onde Você Mora?,0.99,2
Overdose,0.99,2
Paint It Black,0.99,2
Peace On Earth,0.99,2
Pela Luz dos Olhos Teus (Miúcha e Tom Jobim),0.99,2
Perfect Crime,0.99,2
Phantom Lord,0.99,2
Phyllis's Wedding,1.99,2
Piece Of Pie,0.99,2
Pilot,1.99,2
Plot 180,0.99,2
Polly,0.99,2
Por Causa De Você,0.99,2
Powerslave,0.99,2
Pretty Noose,0.99,2
Pride (In The Name Of Love),0.99,2
Primavera,0.99,2
Promises,0.99,2
Prowler,0.99,2
Que Luz É Essa,0.99,2
Question!,0.99,2
Radio Song,0.99,2
Ramble On,0.99,2
Rappers Reais,0.99,2
Re-Align,0.99,2
Real Love,0.99,2
Red Light,0.99,2
Rehab,0.99,2
Revolta Olodum,0.99,2
Right On Time,0.99,2
Rock & Roll,0.99,2
Rock And Roll All Nite,0.99,2
Rocket Queen,0.99,2
Romance Ideal,0.99,2
Run Silent Run Deep,0.99,2
Run To The Hills,0.99,2
Saber Amar,0.99,2
Samba De Orly,0.99,2
Samba Do Lado,0.99,2
Sangue Latino,0.99,2
Saturnine,0.99,2
Save The Children,0.99,2
"Scheherazade, Op. 35: I. The Sea and Sindbad's Ship",0.99,2
Shakes and Ladders,0.99,2
She,0.99,2
She Loves Me Not,0.99,2
Shock Me,0.99,2
Shoot Me Again,0.99,2
Sign Of The Cross,0.99,2
Since I've Been Loving You,0.99,2
Slither,0.99,2
Smells Like Teen Spirit,0.99,2
Smoke On The Water,0.99,2
Snowballed,0.99,2
Snowblind,0.99,2
So Central Rain,0.99,2
So What,0.99,2
Soldier Side - Intro,0.99,2
Somebody To Love,0.99,2
Speed Of Light,0.99,2
Starburst,0.99,2
Stir It Up (Live),0.99,2
Stone Cold Crazy,0.99,2
Stormbringer,0.99,2
"String Quartet No. 12 in C Minor, D. 703 ""Quartettsatz"": II. Andante - Allegro assai",0.99,2
"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",0.99,2
Sun King,0.99,2
Sunday Bloody Sunday,0.99,2
Sunshine Of Your Love,0.99,2
Susie Q,0.99,2
Sweet Hitch-Hiker,0.99,2
"Symphonie Fantastique, Op. 14: V. Songe d'une nuit du sabbat",0.99,2
Só Tinha De Ser Com Você,0.99,2
Take It Or Leave It,0.99,2
Tanto Tempo,0.99,2
Tarde Em Itapoã,0.99,2
Tear,0.99,2
Tempo Perdido,0.99,2
Thank You,0.99,2
That's The Way,0.99,2
The Aftermath,0.99,2
The Clairvoyant,0.99,2
The Duke,0.99,2
The Evil That Men Do,0.99,2
The Fix,1.99,2
The Garden,0.99,2
The House Jack Built,0.99,2
The Last Song,0.99,2
The Midnight Special,0.99,2
The Prisoner,0.99,2
The Star Spangled Banner,0.99,2
The Thin Line Between Love & Hate,0.99,2
The Unforgiven,0.99,2
The Unforgiven II,0.99,2
The Wicker Man,0.99,2
The Woman King,1.99,2
Times Like These,0.99,2
Title Song,0.99,2
Toda Cor,0.99,2
Train In Vain,0.99,2
Travis Walk,0.99,2
Turbo Lover,0.99,2
Two Hearts Beat As One,0.99,2
Um Amor Puro,0.99,2
Under The Bridge,0.99,2
Undertow,0.99,2
Violent Pornography,0.99,2
Voodoo,0.99,2
Waiting,0.99,2
Walkabout,1.99,2
Walking Into Clarksdale,0.99,2
Walter's Walk,0.99,2
War Pigs,0.99,2
We Are The Champions,0.99,2
What A Day,0.99,2
"Whatever It Is, I Just Can't Stop",0.99,2
Whatsername,0.99,2
When I Come Around,0.99,2
When I Look At The World,0.99,2
When Love Comes To Town,0.99,2
When My Left Eye Jumps,0.99,2
Whiskey In The Jar,0.99,2
Woman Of The World (Ao Vivo),0.99,2
Wrathchild,0.99,2
Year to the Day,0.99,2
You Better You Bet,0.99,2
You Got Me Rocking,0.99,2
You're My Best Friend,0.99,2
You've Got Another Thing Comin',0.99,2
Your Time Is Gonna Come,0.99,2
Álibi,0.99,2
"""?""",1.99,1
#9 Dream,0.99,1
'Round Midnight,0.99,1
(Anesthesia) Pulling Teeth,0.99,1
(White Man) In Hammersmith Palais,0.99,1
(Wish I Could) Hideaway,0.99,1
...And Found,1.99,1
...And Justice For All,0.99,1
01 - Prowler,0.99,1
04 - Running Free,0.99,1
05 - Phantom of the Opera,0.99,1
09 - Iron Maiden,0.99,1
1/2 Full,0.99,1
14 Years,0.99,1
2 A.M.,0.99,1
2 X 4,0.99,1
32 Dentes,0.99,1
5.15,0.99,1
A Banda,0.99,1
A Bencao E Outros,0.99,1
"A Benihana Christmas, Pts. 1 & 2",1.99,1
A Cura,0.99,1
A Day In the Life,1.99,1
A Festa Do Santo Reis,0.99,1
A Kind Of Magic,0.99,1
A Man And A Woman,0.99,1
A Menina Dança,0.99,1
"A Midsummer Night's Dream, Op.61 Incidental Music: No.7 Notturno",0.99,1
A Moça e a Chuva,0.99,1
A Noite Do Meu Bem,0.99,1
A Paz,0.99,1
A Small Victory,0.99,1
A Statistic,0.99,1
A Sua,0.99,1
A Touch Away,0.99,1
A Twist In The Tail,0.99,1
A.N.D.R.O.T.A.Z.,0.99,1
Abrir A Porta,0.99,1
Achilles Last Stand,0.99,1
Acrobat,0.99,1
"Act IV, Symphony",0.99,1
Action,0.99,1
Adios nonino,0.99,1
Admirável Gado Novo,0.99,1
Adrift,1.99,1
Advance Romance,0.99,1
Aeroplane Flies High,0.99,1
After Midnight,0.99,1
Age Of Innocence,0.99,1
Agora Que O Dia Acordou,0.99,1
Ain't My Bitch,0.99,1
Ain't Talkin' 'bout Love,0.99,1
Alberta,0.99,1
Ali,0.99,1
Alive,0.99,1
All Because Of You,0.99,1
"All Dead, All Dead",0.99,1
All For You,0.99,1
All I Really Want,0.99,1
All My Love,0.99,1
All Night Thing,0.99,1
All Star,0.99,1
All Within My Hands,0.99,1
Aloha,0.99,1
"Always With Me, Always With You",0.99,1
"Alô, Alô, Marciano",0.99,1
Am I Evil?,0.99,1
Amanhã Não Se Sabe,0.99,1
Amazing,0.99,1
American Idiot,0.99,1
American Woman,0.99,1
Amor Demais,0.99,1
Amy Amy Amy (Outro),0.99,1
Angel,0.99,1
Angel Of Harlem,0.99,1
Angela,0.99,1
Another Life,0.99,1
Another One Bites The Dust,0.99,1
Anthem,0.99,1
Any Colour You Like,0.99,1
Anything Goes,0.99,1
"Anyway, Anyhow, Anywhere",0.99,1
Aos Leões,0.99,1
Apesar De Você,0.99,1
Aprendendo A Jogar,0.99,1
Aquele Abraço,0.99,1
Aquilo,0.99,1
Arc,0.99,1
Are We The Waiting,0.99,1
Are You Gonna Be My Girl,0.99,1
Are You Gonna Go My Way,0.99,1
Armadura,0.99,1
Army Ants,0.99,1
Around The World,0.99,1
As Aparências Enganam,0.99,1
As Dores do Mundo,0.99,1
As Profecias,0.99,1
As Tears Go By,0.99,1
As We Sleep,0.99,1
Ashes To Ashes,0.99,1
Assaltaram A Gramática,0.99,1
Assim Caminha A Humanidade,0.99,1
Assum Preto,0.99,1
Astronomy,0.99,1
Atomic Punk,0.99,1
Atras Da Porta,0.99,1
Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,0.99,1
Atrás da Porta,0.99,1
Attitude,0.99,1
Ava Adore,0.99,1
Avisa,0.99,1
B.Y.O.B.,0.99,1
Baba O'Riley,0.99,1
Babyface,0.99,1
Back Door Man,0.99,1
Back from Vacation,1.99,1
Back in the Village,0.99,1
Back off Bitch,0.99,1
Back to Black,0.99,1
Bad,0.99,1
Bad Moon Rising,0.99,1
Bad Obsession,0.99,1
Bad Seed,0.99,1
"Bad, Bad Leroy Brown",0.99,1
Badge,0.99,1
Balanço,0.99,1
Baltar's Escape,1.99,1
"Baltimore, DC",0.99,1
Bankrobber,0.99,1
Bark at the Moon,0.99,1
Bass Trap,0.99,1
"Battlestar Galactica, Pt. 1",1.99,1
"Battlestar Galactica, Pt. 2",1.99,1
Be Aggressive,0.99,1
Be Good Johnny,0.99,1
Be Mine,0.99,1
Beach Sequence,0.99,1
Been A Son,0.99,1
Beija-Flor,0.99,1
Beijo Partido,0.99,1
Believer,0.99,1
Bell Bottom Blues,0.99,1
Berimbau,0.99,1
Best Thing,0.99,1
Beth,0.99,1
Better Halves,1.99,1
Bicycle Race,0.99,1
Big Machine,0.99,1
Billie Jean,0.99,1
Bittersweet Me,0.99,1
Black,0.99,1
Black Capricorn Day,0.99,1
Black Diamond,0.99,1
Black Hole Sun,0.99,1
Black Light Syndrome,0.99,1
Black Moon Creeping,0.99,1
Black Mountain Side,0.99,1
Black Night,0.99,1
Black Satin,0.99,1
Blackened,0.99,1
Bleed The Freak,0.99,1
Bleed Together,0.99,1
Bleeding Me,0.99,1
Blind Man,0.99,1
Blissed & Gone,0.99,1
Blitzkrieg,0.99,1
Blood In The Wall,0.99,1
Blood On The World's Hands,0.99,1
Blow Your Mind,0.99,1
Blue Train,0.99,1
Blues For Pablo (Alternate Take),0.99,1
Body Count,0.99,1
Body Count Anthem,0.99,1
Body Count's In The House,0.99,1
Bohemian Rhapsody,0.99,1
Boogie Blues,0.99,1
Boogie With Stu,0.99,1
Book Of Thel,0.99,1
Bop Boogie,0.99,1
Bora-Bora,0.99,1
Bored To Tears,0.99,1
Born On The Bayou,0.99,1
Born To Move,0.99,1
Born to Run,1.99,1
Bossa,0.99,1
Boulevard Of Broken Dreams,0.99,1
Brain Damage,0.99,1
Brain Stew,0.99,1
Brasília 5:31,0.99,1
Brave New World,0.99,1
Breadfan,0.99,1
Breaking The Rules,0.99,1
Breakthru,0.99,1
Breathe,0.99,1
Breed,0.99,1
Brighter Than a Thousand Suns,0.99,1
Bring Me Your Cup,0.99,1
Bring Your Daughter... ...To The Slaughter,0.99,1
Bring Your Daughter... To The Slaughter,0.99,1
Brumário,0.99,1
Bullet The Blue Sky,0.99,1
Burden In My Hand,0.99,1
Burn Away,0.99,1
Busca Vida,0.99,1
Bush Doctor,0.99,1
By The Way,0.99,1
Bye Bye Blackbird,0.99,1
"Bye, Bye Brasil",0.99,1
Bê-a-Bá,0.99,1
C'Mon Everybody,0.99,1
Cafezinho,0.99,1
Californication,0.99,1
Call Me a Dog,0.99,1
Camarão que Dorme e Onda Leva,0.99,1
Camisa Verde 2001,0.99,1
Can You See Me,0.99,1
Can't Get There From Here,0.99,1
Can't Keep,0.99,1
Can't Stand Losing You,0.99,1
Can't Stop,0.99,1
Can't Stop Loving You,0.99,1
Canon and Gigue in D Major: I. Canon,0.99,1
"Canta, Canta Mais",0.99,1
Canto De Ossanha,0.99,1
Canário Do Reino,0.99,1
Caprichosos,0.99,1
Caras Como Eu,0.99,1
Carnival Of Sorts,0.99,1
Carol,0.99,1
Carolina,0.99,1
Carolina Hard-Core Ecstasy,0.99,1
Carouselambra,0.99,1
Carta Ao Tom 74,0.99,1
Casa,0.99,1
Casa no Campo,0.99,1
Cascades : I'm Not Your Lover,0.99,1
Caso Você Queira Saber,0.99,1
Catch-22,1.99,1
Cathedral,0.99,1
Caught Somewhere in Time,0.99,1
Caçador de Mim (Sá & Guarabyra),0.99,1
Chains Of Misery,0.99,1
Changes,0.99,1
Chaos-Control,0.99,1
Chapa o Coco,0.99,1
Charles Anjo 45,0.99,1
Chega no Suingue,0.99,1
Child In Time,0.99,1
Childhoods End?,0.99,1
Children of the Damned,0.99,1
Christmas Party,1.99,1
Chão De Estrelas,0.99,1
Chão de Giz (Elba Ramalho),0.99,1
Cigano,0.99,1
Cigaro,0.99,1
Cinema Mudo,0.99,1
Civil War,0.99,1
Clash City Rockers,0.99,1
Closer To The Heart,0.99,1
Cochise,0.99,1
Cold Gin,0.99,1
Cold Turkey,0.99,1
Colibri,0.99,1
Collaborators,1.99,1
Com Açúcar E Com Afeto,0.99,1
Coma,0.99,1
Come Fly With Me,0.99,1
Começaria Tudo Outra Vez,0.99,1
Commercial 2,0.99,1
Communication Breakdown(2),0.99,1
Como Estais Amigos,0.99,1
Como É Duro Trabalhar,0.99,1
Company Man,1.99,1
Compulsion,0.99,1
Computadores Fazem Arte,0.99,1
"Concerto No.2 in F Major, BWV1047, I. Allegro",0.99,1
"Concerto for Cello and Orchestra in E minor, Op. 85: I. Adagio - Moderato",0.99,1
"Concerto for Piano No. 2 in F Minor, Op. 21: II. Larghetto",0.99,1
Condição,0.99,1
Confusion,0.99,1
Construção / Deus Lhe Pague,0.99,1
Copacabana (Live),0.99,1
Coração De Estudante,0.99,1
Coração Em Desalinho,0.99,1
Coração do Agreste (Fafá de Belém),0.99,1
Corduroy,0.99,1
Corinna,0.99,1
Coroné Antonio Bento,0.99,1
Cotton Fields,0.99,1
Crackerman,0.99,1
Crash Course In Brain Surgery,0.99,1
Crazy Train,0.99,1
Creep,0.99,1
Creeping Death,0.99,1
Criança De Domingo,0.99,1
Cristina Nº 2,0.99,1
Cropduster,0.99,1
Crossfire,0.99,1
Crossroads,0.99,1
"Crossroads, Pt. 1",1.99,1
"Crossroads, Pt. 2",1.99,1
Crumbs From Your Table,0.99,1
Cry For Love,0.99,1
Crystal Ball,0.99,1
Cuckoo For Caca,0.99,1
Cure,0.99,1
Cursed Diamonds,0.99,1
Cuyahoga,0.99,1
Cérebro Eletrônico,0.99,1
D'Yer Mak'er,0.99,1
Da Lama Ao Caos,0.99,1
Damage Case,0.99,1
Damage Inc.,0.99,1
Dance,0.99,1
Dance Enquanto é Tempo,0.99,1
Dance Of Death,0.99,1
Dancing Barefoot,0.99,1
Dancing In The Street,0.99,1
Dandelion,0.99,1
"Danny Boy, Danny Boy",0.99,1
Dança Da Solidão,0.99,1
Dark Corners,0.99,1
Dave,1.99,1
"De Do Do Do, De Da Da Da",0.99,1
De Ja Vu,0.99,1
De La Luz,0.99,1
De Noite Na Cama,0.99,1
De Ouro E Marfim (Live),0.99,1
Dead And Bloated,0.99,1
Dead Horse,0.99,1
Dee,0.99,1
Deep Waters,0.99,1
Deeper Underground,0.99,1
Deixa,0.99,1
Demorou!,0.99,1
Denúncia,0.99,1
Departure,0.99,1
Desaforo,0.99,1
Destitute Illusions,0.99,1
Deuce,0.99,1
Deus Ex Machina,1.99,1
Diamonds And Rust (Live),0.99,1
Die Die My Darling,0.99,1
Die Walküre: The Ride of the Valkyries,0.99,1
Die With Your Boots On,0.99,1
"Diga Lá, Coração",0.99,1
Din Din Wo (Little Child),0.99,1
Dirty Little Thing,0.99,1
Dirty Love,0.99,1
Dirty Water Dog,0.99,1
Disappearing Act,0.99,1
Disarm,0.99,1
Discotheque,0.99,1
Disenchanted Lullaby,0.99,1
Disposable Heroes,0.99,1
Dissident,0.99,1
Distractions,1.99,1
Diversity Day,1.99,1
Divirta-Se (Saindo Da Sua),0.99,1
Diwali,1.99,1
Do It For The Kids,0.99,1
Do You Feel Loved,0.99,1
Do You Have Other Loves?,0.99,1
Do You Like The Way,0.99,1
Do You Love Me,0.99,1
Do what cha wanna,0.99,1
Doesn't Remind Me,0.99,1
Dog Eat Dog,0.99,1
Domingo,0.99,1
Don't Cry,0.99,1
Don't Cry (Original),0.99,1
Don't Damn Me,0.99,1
Don't Go Back To Rockville,0.99,1
Don't Look Back,0.99,1
Don't Stand so Close to Me,0.99,1
Don't You Cry,0.99,1
Double Talkin' Jive,0.99,1
Doutor,0.99,1
Down By The Seaside,0.99,1
Down On The Corner,0.99,1
Down Under,0.99,1
Dreams,0.99,1
Drown,0.99,1
Drown Me Slowly,0.99,1
Drowning Man,0.99,1
Duelists,0.99,1
Duende,0.99,1
Dujji,0.99,1
Dust N' Bones,0.99,1
E.C.T.,0.99,1
E.S.P.,0.99,1
Eclipse Oculto,0.99,1
Edie (Ciao Baby),0.99,1
El Farol,0.99,1
Ela Disse Adeus,0.99,1
Elderly Woman Behind The Counter In A Small Town,0.99,1
Eleanor Rigby,0.99,1
Electrolite,0.99,1
Elza,0.99,1
Email Surveillance,1.99,1
Encontrar Alguém,0.99,1
Endgame,0.99,1
Enquanto O Dia Não Vem,0.99,1
Enter 77,1.99,1
Entrando Na Sua (Intro),0.99,1
Entre E Ouça,0.99,1
Epic,0.99,1
Equinocio,0.99,1
Era Uma Vez,0.99,1
Esperando Na Janela,0.99,1
Esse Cara,0.99,1
Estranged,0.99,1
Estrela (Live),0.99,1
Etnia,0.99,1
Eu Amo Você,0.99,1
Eu Apenas Queria Que Voçê Soubesse,0.99,1
Eu E Ela,0.99,1
Eu Sou Neguinha (Ao Vivo),0.99,1
Eu Também Quero Beijar,0.99,1
Eu Vim Da Bahia - Live,0.99,1
Even Better Than The Real Thing,0.99,1
Everlong,0.99,1
Every Breath You Take,0.99,1
Every Time I Look At You,0.99,1
Everything I Need,0.99,1
Everything's Ruined,0.99,1
Evil Dick,0.99,1
Evil Walks,0.99,1
Evil Ways,0.99,1
Evil Woman,0.99,1
Exodus (Part 2) [Season Finale],1.99,1
"Exodus, Pt. 1",1.99,1
"Exodus, Pt. 2",1.99,1
Experiment In Terra,1.99,1
Exploder,0.99,1
Exposé,1.99,1
Expresso 2222,0.99,1
Extra,0.99,1
Extraordinary Girl,0.99,1
Eye,0.99,1
Eye Of The Beholder,0.99,1
F**k Me Pumps,0.99,1
F*Ckin' Up,0.99,1
Face In The Sand,0.99,1
Faceless,0.99,1
Fade To Black,0.99,1
Fairies Wear Boots,0.99,1
Faixa Amarela,0.99,1
Falando De Amor,0.99,1
Falar A Verdade,0.99,1
Fall To Pieces,0.99,1
Falling To Pieces,0.99,1
Família,0.99,1
Fantasia On Greensleeves,0.99,1
Fascinação,0.99,1
Fast And Loose,0.99,1
Fast As a Shark,0.99,1
Fat Bottomed Girls,0.99,1
Fates Warning,0.99,1
Fear Is The Key,0.99,1
Feel It,0.99,1
Feel Your Love Tonight,0.99,1
Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja,0.99,1
Felicidade Urgente,0.99,1
Fica,0.99,1
Fight From The Inside,0.99,1
Filho Maravilha,0.99,1
Finding My Way,0.99,1
Fire,0.99,1
Fire + Water,1.99,1
First Time I Met The Blues,0.99,1
Flash,0.99,1
Flash of The Blade,0.99,1
Flight Of The Rat,0.99,1
Flor De Lis,0.99,1
Flores,0.99,1
Flower,0.99,1
Fly By Night,0.99,1
Fly Me To The Moon,0.99,1
Fool In The Rain,0.99,1
For Those About To Rock (We Salute You),0.99,1
For Your Babies,0.99,1
Fora Da Ordem,0.99,1
Forgiven,0.99,1
Formigueiro,0.99,1
Formosa,0.99,1
Fortunate Son,0.99,1
Fortunes Of War,0.99,1
Fortuneteller,0.99,1
Forty Days Instrumental,0.99,1
Four Sticks,0.99,1
Four Walled World,0.99,1
Frantic,0.99,1
Free Me,0.99,1
Freedom For My People,0.99,1
Freewheel Burning,0.99,1
Freewill,0.99,1
Friend Of A Friend,0.99,1
Friends,0.99,1
From Here To Eternity,0.99,1
From Out Of Nowhere,0.99,1
Fuel,0.99,1
Funk Hum,0.99,1
Funk de Bamba,0.99,1
Funky Piano,0.99,1
Futureal,0.99,1
Garota Nacional,0.99,1
Garota de Ipanema (Dick Farney),0.99,1
Gatas Extraordinárias,0.99,1
Gates Of Tomorrow,0.99,1
Gates Of Urizen,0.99,1
Gavioes 2001,0.99,1
Geek Stink Breath,0.99,1
Genesis,1.99,1
Genghis Khan,0.99,1
"Get Down, Make Love",0.99,1
Get Off Of My Cloud,0.99,1
Get On The Snake,0.99,1
Get On Top,0.99,1
Get Out,0.99,1
Get Right,0.99,1
Get Up (I Feel Like Being A) Sex Machine,0.99,1
Get Up Offa That Thing,0.99,1
Get What You Need,0.99,1
Ghost,0.99,1
Gimmie Shelters,0.99,1
Girl From A Pawnshop,0.99,1
Given To Fly,0.99,1
Giz,0.99,1
Go,0.99,1
Go Back,0.99,1
Go Down,0.99,1
God,0.99,1
God Gave Rock 'n' Roll To You,0.99,1
God Of Thunder,0.99,1
God Part II,0.99,1
Goin' Blind,0.99,1
Going Down / Highway Star,0.99,1
Going To California,0.99,1
Gone,0.99,1
Gostava Tanto De Você,0.99,1
Got That Feeling,0.99,1
Gota D'água,0.99,1
Green Disease,0.99,1
Green Grow The Rushes,0.99,1
Green River,0.99,1
"Greetings from Earth, Pt. 1",1.99,1
"Greetings from Earth, Pt. 2",1.99,1
Grito De Alerta,0.99,1
Groovus Interruptus,0.99,1
Guess Who's Back,0.99,1
Hairshirt,0.99,1
Halloween,1.99,1
Hands All Over,0.99,1
Hang 'Em High,0.99,1
Happy Jack,0.99,1
Hard Luck Woman,0.99,1
Hard To Handle,0.99,1
Harvester Of Sorrow,0.99,1
Hats Off To (Roy) Harper,0.99,1
Hawkmoon 269,0.99,1
He Can Only Hold Her,0.99,1
Headlong,0.99,1
Headspace,0.99,1
Heart In Your Hand,0.99,1
Heart Of Gold,0.99,1
Heart Of Lothian: Wide Boy / Curtain Call,0.99,1
Heartbreaker,0.99,1
Heartland,0.99,1
Heavy Love Affair,0.99,1
Heliopolis,0.99,1
Hell Ain't A Bad Place To Be,0.99,1
Help Yourself,0.99,1
Hemp Family,0.99,1
Here I Am (Come And Take Me),0.99,1
Here I Go Again,0.99,1
Hero,1.99,1
Hey Cisco,0.99,1
Hey Hey,0.99,1
Hey Joe,0.99,1
Hey Tonight,0.99,1
"Hey, Johnny Park!",0.99,1
High Ball Shooter,0.99,1
High Head Blues,0.99,1
Higher Ground,0.99,1
Highway Chile,0.99,1
Hip Hop Rio,0.99,1
Hit The Lights,0.99,1
Holier Than Thou,0.99,1
Holy Smoke,0.99,1
Home Sick Home,0.99,1
Home Sweet Home,0.99,1
Homecoming,1.99,1
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again,0.99,1
Homely Girl,0.99,1
Homem Primata,0.99,1
Homem Primata (Vinheta),0.99,1
Honolulu,0.99,1
Hooked Up,0.99,1
Hot Dog,0.99,1
Hot Rockin',0.99,1
Hots On For Nowhere,0.99,1
House of the Rising Sun,1.99,1
Houses Of The Holy,0.99,1
How High The Moon,0.99,1
How The West Was Won And Where It Got Us,0.99,1
Humans Being,0.99,1
Hush,0.99,1
Hypnotize,0.99,1
Hysteria,0.99,1
I Am,0.99,1
I Belong To You,0.99,1
I Can See For Miles,0.99,1
