Name,UnitPrice,Revenus
Encontrar Alguém,0.99,13.86
Enquanto O Dia Não Vem,0.99,13.86
Entrando Na Sua (Intro),0.99,13.86
Entre E Ouça,0.99,13.86
Equinocio,0.99,13.86
Esperando Na Janela,0.99,13.86
Esse Cara,0.99,13.86
Estrela (Live),0.99,13.86
Eu Também Quero Beijar,0.99,13.86
Everlong,0.99,13.86
Every Breath You Take,0.99,13.86
Every Time I Look At You,0.99,13.86
Everything I Need,0.99,13.86
Evil Ways,0.99,13.86
Evil Woman,0.99,13.86
Exploder,0.99,13.86
Eye Of The Beholder,0.99,13.86
F*Ckin' Up,0.99,13.86
Face In The Sand,0.99,13.86
Falando De Amor,0.99,13.86
Falar A Verdade,0.99,13.86
Fall To Pieces,0.99,13.86
Fascinação,0.99,13.86
Fear Is The Key,0.99,13.86
Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja,0.99,13.86
Felicidade Urgente,0.99,13.86
Fica,0.99,13.86
Filho Maravilha,0.99,13.86
Finding My Way,0.99,13.86
Fire,0.99,13.86
Fly By Night,0.99,13.86
Fly Me To The Moon,0.99,13.86
For Your Babies,0.99,13.86
Fora Da Ordem,0.99,13.86
Fortuneteller,0.99,13.86
Forty Days Instrumental,0.99,13.86
Freewill,0.99,13.86
Friend Of A Friend,0.99,13.86
From Here To Eternity,0.99,13.86
Funk Hum,0.99,13.86
Funky Piano,0.99,13.86
Garota Nacional,0.99,13.86
Gavioes 2001,0.99,13.86
Genghis Khan,0.99,13.86
"Get Down, Make Love",0.99,13.86
Get Off Of My Cloud,0.99,13.86
Get On Top,0.99,13.86
Get Right,0.99,13.86
Ghost,0.99,13.86
Gimmie Shelters,0.99,13.86
Given To Fly,0.99,13.86
Giz,0.99,13.86
Go,0.99,13.86
God Of Thunder,0.99,13.86
Going Down / Highway Star,0.99,13.86
Gone,0.99,13.86
Green Disease,0.99,13.86
Green River,0.99,13.86
Groovus Interruptus,0.99,13.86
Hands All Over,0.99,13.86
Heart Of Gold,0.99,13.86
Heart Of Lothian: Wide Boy / Curtain Call,0.99,13.86
Heavy Love Affair,0.99,13.86
Hey Cisco,0.99,13.86
Hey Joe,0.99,13.86
"Hey, Johnny Park!",0.99,13.86
High Ball Shooter,0.99,13.86
Higher Ground,0.99,13.86
Highway Chile,0.99,13.86
Hip Hop Rio,0.99,13.86
Holy Smoke,0.99,13.86
Home Sweet Home,0.99,13.86
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again,0.99,13.86
Honolulu,0.99,13.86
Hot Rockin',0.99,13.86
Houses Of The Holy,0.99,13.86
Hush,0.99,13.86
Hypnotize,0.99,13.86
Hysteria,0.99,13.86
I Belong To You,0.99,13.86
I Can't Quit You Baby(2),0.99,13.86
I Could Die For You,0.99,13.86
I Get A Kick Out Of You,0.99,13.86
I Like Dirt,0.99,13.86
I Looked At You,0.99,13.86
I Need Love,0.99,13.86
I'm Real,0.99,13.86
Idolatrada,0.99,13.86
If You Don't Know Me By Now,0.99,13.86
If You Have To Ask,0.99,13.86
In Bloom,0.99,13.86
Inside Job,0.99,13.86
Interlude Zumbi,0.99,13.86
Into The Fire,0.99,13.86
Invisible Kid,0.99,13.86
Ipiranga 2001,0.99,13.86
It Ain't Like That,0.99,13.86
It Was A Very Good Year,0.99,13.86
It's A Hard Life,0.99,13.86
It's Only Love,0.99,13.86
Jah Seh No,0.99,13.86
Jailbait,0.99,13.86
Jean Pierre (Live),0.99,13.86
Jeru,0.99,13.86
Jerusalem,0.99,13.86
Journey To Arnhemland,0.99,13.86
Juazeiro,0.99,13.86
Just Ain't Good Enough,0.99,13.86
Kickstart My Heart,0.99,13.86
King Of Dreams,0.99,13.86
King Of Pain,0.99,13.86
La Puesta Del Sol,0.99,13.86
Lamento Sertanejo,0.99,13.86
Last Caress/Green Hell,0.99,13.86
Lavadeira,0.99,13.86
Lazy Gun,0.99,13.86
Leandro De Itaquera 2001,0.99,13.86
Leash,0.99,13.86
Leila,0.99,13.86
Let's See Action,0.99,13.86
Levada do Amor (Ailoviu),0.99,13.86
Lick It Up,0.99,13.86
Life Line,0.99,13.86
Like a Stone,0.99,13.86
Lil' Evil,0.99,13.86
Live To Win,0.99,13.86
Long Tall Sally,0.99,13.86
Looking For Love,0.99,13.86
Lords of Karma,0.99,13.86
Love,0.99,13.86
Love Conquers All,0.99,13.86
Love Don't Mean a Thing,0.99,13.86
Love Is Strong,0.99,13.86
Love Of My Life,0.99,13.86
Love Removal Machine,0.99,13.86
Lucky 13,0.99,13.86
Luis Inacio (300 Picaretas),0.99,13.86
Mack The Knife,0.99,13.86
Magnetic Ocean,0.99,13.86
Mama Africa,0.99,13.86
Man With The Woman Head,0.99,13.86
Mangueira,0.99,13.86
Manuel,0.99,13.86
Maquinarama,0.99,13.86
Maria Fumaça,0.99,13.86
Maria Maria,0.99,13.86
Maria Rosa,0.99,13.86
Mas Que Nada,0.99,13.86
May This Be Love,0.99,13.86
Mean Disposition,0.99,13.86
Medo De Escuro,0.99,13.86
Menino Do Rio,0.99,13.86
Message in a Bottle (new classic rock mix),0.99,13.86
Metrô. Linha 743,0.99,13.86
Meu Guarda-Chuva,0.99,13.86
Midnight,0.99,13.86
Mistério da Raça,0.99,13.86
Money,0.99,13.86
Monkey Wrench,0.99,13.86
Moon Is Up,0.99,13.86
Moon germs,0.99,13.86
Morro Da Casa Verde 2001,0.99,13.86
Most High,0.99,13.86
Mundaréu,0.99,13.86
Muçulmano,0.99,13.86
My Hero,0.99,13.86
My Kind Of Town,0.99,13.86
My Love,0.99,13.86
My Melancholy Blues,0.99,13.86
My Mistake,0.99,13.86
N.I.B.,0.99,13.86
Na Frente Da TV,0.99,13.86
Nefertiti,0.99,13.86
Nervosa,0.99,13.86
"New York, New York",0.99,13.86
Nico,0.99,13.86
No Futuro,0.99,13.86
No One Came,0.99,13.86
No Way Back,0.99,13.86
Nobody's Home,0.99,13.86
O Bicho Tá Pregando,0.99,13.86
O Boto (Bôto),0.99,13.86
O Que Vai Em Meu Coração,0.99,13.86
O Trem Da Juventude,0.99,13.86
O Xote Das Meninas,0.99,13.86
O Último Romântico (Ao Vivo),0.99,13.86
Oceano,0.99,13.86
Oceans,0.99,13.86
Off He Goes,0.99,13.86
On A Plain,0.99,13.86
On Fire,0.99,13.86
One Man's Meat,0.99,13.86
Onibusfobia,0.99,13.86
Only A Dream In Rio,0.99,13.86
Os Alquimistas Estão Chegando,0.99,13.86
Os Exilados,0.99,13.86
Otay,0.99,13.86
Out Of Tears,0.99,13.86
Outbreak,0.99,13.86
Over And Out,0.99,13.86
Overdrive,0.99,13.86
Pais E Filhos,0.99,13.86
Paisagem Na Janela,0.99,13.86
Palavras Ao Vento,0.99,13.86
Panis Et Circenses,0.99,13.86
Papelão,0.99,13.86
Para Lennon E McCartney,0.99,13.86
Pau-De-Arara,0.99,13.86
Pensamento,0.99,13.86
Persuasion,0.99,13.86
Phantom Of The Opera,0.99,13.86
Pick Myself Up,0.99,13.86
Pictures Of Home,0.99,13.86
Pinball Wizard,0.99,13.86
Planet Home,0.99,13.86
Please Don't Touch,0.99,13.86
Podes Crer,0.99,13.86
Porch,0.99,13.86
"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll",0.99,13.86
Pour Some Sugar On Me,0.99,13.86
Primal Scream,0.99,13.86
Pseudo Silk Kimono,0.99,13.86
Psychopomp,0.99,13.86
Purgatory,0.99,13.86
Put Your Lights On,0.99,13.86
Radio GA GA,0.99,13.86
Ram It Down,0.99,13.86
Ramshackle Man,0.99,13.86
Razor,0.99,13.86
Real Thing,0.99,13.86
Realce,0.99,13.86
Realword,0.99,13.86
Red House,0.99,13.86
Reggae Tchan,0.99,13.86
Respectable,0.99,13.86
Rios Pontes & Overdrives,0.99,13.86
Rita Lee,0.99,13.86
Ro-Que-Se-Da-Ne,0.99,13.86
Road Trippin',0.99,13.86
Rock 'N' Roll Music,0.99,13.86
Rock And Roll Is Dead,0.99,13.86
Rock Of Ages,0.99,13.86
Rollover D.J.,0.99,13.86
Roxanne,0.99,13.86
Running Free,0.99,13.86
Rusty Cage,0.99,13.86
Saint Of Me,0.99,13.86
Salve Simpatia,0.99,13.86
Sam With The Showing Scalp Flat Top,0.99,13.86
Samba da Bençaco,0.99,13.86
Samba pras moças,0.99,13.86
Same Ol' Situation,0.99,13.86
Santa Clara Clareou,0.99,13.86
Santana Jam,0.99,13.86
Sapato 36,0.99,13.86
Satch Boogie,0.99,13.86
Satisfação,0.99,13.86
Saudade Dos Aviões Da Panair (Conversando No Bar),0.99,13.86
"Say It Loud, I'm Black And I'm Proud Pt.1",0.99,13.86
Scentless Apprentice,0.99,13.86
Sea Of Sorrow,0.99,13.86
Secrets,0.99,13.86
See You,0.99,13.86
Seek And You Shall Find,0.99,13.86
Segue O Seco,0.99,13.86
Seis Da Tarde,0.99,13.86
Sem Sentido,0.99,13.86
Sereia,0.99,13.86
Será,0.99,13.86
Seven Seas Of Rhye,0.99,13.86
Severed Hand,0.99,13.86
She Wears Black,0.99,13.86
Shout At The Devil,0.99,13.86
Showcase,0.99,13.86
Sick Again,0.99,13.86
Sir Psycho Sexy,0.99,13.86
Sister Awake,0.99,13.86
Slave,0.99,13.86
Smoked Pork,0.99,13.86
Smokin' in The Boys Room,0.99,13.86
So Beautiful,0.99,13.86
Soldado Da Paz,0.99,13.86
Solo-Panhandler,0.99,13.86
Sometimes I Feel Like Screaming,0.99,13.86
Soot & Stars,0.99,13.86
Space Truckin',0.99,13.86
"Spanish moss-""A sound portrait""-Spanish moss",0.99,13.86
Spank Thru,0.99,13.86
Stars,0.99,13.86
Still,0.99,13.86
Still Life,0.99,13.86
Stone Free,0.99,13.86
Straight Out Of Line,0.99,13.86
Suck On The Jugular,0.99,13.86
Summer Love,0.99,13.86
Super Terrorizer,0.99,13.86
Surprise! You're Dead!,0.99,13.86
Sweet Lady Luck,0.99,13.86
Sweet Soul Sister,0.99,13.86
Sweethearts Together,0.99,13.86
